State	$	import	.	;	id	comma	=	static	(	)	void	...	{	}	struct	union	typedef	[	]	INTEGER	*	-=	signed	unsigned	char	if	else	while	do	for	break	goto	continue	return	:	case	defult	switch	?	||	&&	==	!=	<	>	<=	>=	<<	>>	+	-	/	%	++	--	SIZEOF	!	~	&	->	CHARACTOR	STRING	FLOAT	+=	*=	/=	%=	const	bool	float	double	long	short	int	extern	programe	import_staments	import_stament	NAME	name	top_decls	top_decl	defvars	other_vars	other_var	initial_expr	storage	defun	params	fixed_params	param	kwargs	block	block_componets	defstruct	defunion	member_list	slots	TYPEDEF	type	type_postfix	param_typerefs	fixed_param_ref	opassign_op	primary_type	stmts	stmt	if_stmt	while_stmt	dowhile_stmt	for_stmt	optional_for_expr	break_stmt	goto_stmt	continue_stmt	return_stmt	label_stmt	switch_stmt	label_stmts	expr	conditional_expr	logical_or_expr	logical_and_expr	equality_expr	relational_expr	shift_expr	additive_expr	multiplicative_expr	term	unary_expr	unary_operator	postfix_expr	primary_expr	CONSTANT	defconst	args	int_type	block_componet	forIniitialer	optional_for_exprs	expr_list	typeName	fun_decl	param_decl	var_decl	other_var_decls	other_var_decl	
0	r2	r2			r2			r2			r2				r2	r2	r2						r2	r2	r2																																											r2	r2	r2	r2	r2	r2	r2	r2	2	1																																																																							
1	r8	s4			r8			r8			r8				r8	r8	r8						r8	r8	r8																																											r8	r8	r8	r8	r8	r8	r8	r8			3			5																																																																			
2	acc																																																																																																																																																			
3	r1	r1			r1			r1			r1				r1	r1	r1						r1	r1	r1																																											r1	r1	r1	r1	r1	r1	r1	r1																																																																									
4					s8																																																																										7	6																																																																				
5	r0				r20			s11			r20				s22	s18	s20						r20	r20	r20																																											s21	r20	r20	r20	r20	r20	r20	s16							19	14				12	15							10	13			17																																				9													
6			s24	s23																																																																																																																																																
7	r3	r3			r3			r3			r3				r3	r3	r3						r3	r3	r3																																											r3	r3	r3	r3	r3	r3	r3	r3																																																																									
8			r6	r6		r6	r6		r6	r6			r6	r6				r6	r6		r6	r6													r6				r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6	r6					r6				r6	r6	r6	r6																																																																																	
9	r11				r11			r11			r11				r11	r11	r11						r11	r11	r11																																											r11	r11	r11	r11	r11	r11	r11	r11																																																																									
10	r12				r12			r12			r12				r12	r12	r12						r12	r12	r12																																											r12	r12	r12	r12	r12	r12	r12	r12																																																																									
11					r21						r21				r21	r21							r21	r21	r21																																												r21	r21	r21	r21	r21	r21																																																																										
12					s35						s32				s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																										36					30																																26					38						
13	r39				r39			r39			r39				r39	r39	r39						r39	r39	r39																																											r39	r39	r39	r39	r39	r39	r39	r39																																																																									
14	r10				r10			r10			r10				r10	r10	r10						r10	r10	r10																																											r10	r10	r10	r10	r10	r10	r10	r10																																																																									
15	r9				r9			r9			r9				r9	r9	r9						r9	r9	r9																																											r9	r9	r9	r9	r9	r9	r9	r9																																																																									
16					r20			s11			r20				r20	r20							r20	r20	r20																																												r20	r20	r20	r20	r20	r20													43																																																								44		42			
17	r13				r13			r13			r13				r13	r13	r13						r13	r13	r13																																											r13	r13	r13	r13	r13	r13	r13	r13																																																																									
18					s8																																																																											45																																																																				
19	r7				r7			r7			r7				r7	r7	r7						r7	r7	r7																																											r7	r7	r7	r7	r7	r7	r7	r7																																																																									
20					s35						s32				s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																										46					30																																26					38						
21					s35						s32				s40	s33							s41	s39	s27																																												s25	s29	s28	s37	s34	s31																										47					30																																26					38						
22					s8																																																																											48																																																																				
